"from","to","vessels","xx","yx","xy","yy"
"Mainland Marina 9","Mainland Mooring 36",1,174.7806808478,-36.84457156828,174.234434919178,-35.2312827907832
"Mainland Marina 9","Mainland Mooring 39",1,174.7806808478,-36.84457156828,174.626395503,-36.0884419507
"Mainland Marina 9","Mainland Mooring 50",165,174.7806808478,-36.84457156828,175.484314823333,-36.3264657695333
"Mainland Marina 9","Mainland Mooring 51",14,174.7806808478,-36.84457156828,175.394999821667,-36.2618971699
"Mainland Marina 9","Mainland Mooring 52",29,174.7806808478,-36.84457156828,175.3452219984,-36.16394118716
"Mainland Marina 9","Mainland Mooring 56",1,174.7806808478,-36.84457156828,174.769023108,-36.7225471621
"Mainland Marina 9","Mainland Mooring 57",2,174.7806808478,-36.84457156828,175.169568132,-36.9355424265
"Mainland Marina 9","Mainland Mooring 58",2,174.7806808478,-36.84457156828,174.984934641667,-36.7547664897667
"Mainland Marina 9","Mainland Mooring 59",90,174.7806808478,-36.84457156828,175.0339161016,-36.82694775294
"Mainland Marina 9","Mainland Mooring 60",1,174.7806808478,-36.84457156828,175.054278319,-36.7799339133
"Mainland Marina 9","Mainland Mooring 62",7,174.7806808478,-36.84457156828,174.9063578104,-36.88621788714
"Mainland Marina 9","Mainland Mooring 63",3,174.7806808478,-36.84457156828,174.697576695143,-36.8303688103286
"Mainland Marina 9","Mainland Mooring 64",31,174.7806808478,-36.84457156828,174.799140037429,-36.8335831537
"Mainland Marina 9","Mainland Mooring 65",5,174.7806808478,-36.84457156828,174.829097479333,-36.4237396672
"Mainland Marina 9","Mainland MR 19",1,174.7806808478,-36.84457156828,174.393337915,-35.7931840023
"Mainland Marina 9","Mainland MR 3",1,174.7806808478,-36.84457156828,174.840336911,-36.3580937062
"Mainland Marina 9","Mainland Mussels 22",1,174.7806808478,-36.84457156828,175.467452382667,-36.5142802588667
"Mainland Marina 9","Mainland Mussels 29",3,174.7806808478,-36.84457156828,175.341963074222,-36.1619629048222
"Mainland Marina 9","Mainland Mussels 3",1,174.7806808478,-36.84457156828,175.0661639535,-36.83727495265
"Mainland Marina 9","Mainland Mussels 54",1,174.7806808478,-36.84457156828,175.16964666,-36.8061142425
"Mainland Marina 9","Mainland Oysters 16",1,174.7806808478,-36.84457156828,175.169953813,-36.8029395727
"Mainland Marina 9","Mainland Oysters 17",3,174.7806808478,-36.84457156828,175.1250922205,-36.83929055045
"Mainland Marina 9","Mainland Salmon 12",3,174.7806808478,-36.84457156828,174.817813456,-36.4171652096
"Mainland Marina 9","Smokehouse Bay",4,174.7806808478,-36.84457156828,175.3353,-36.2057
"Mainland Mooring 25","Mainland Mooring 26",2,175.434166988,-36.8246320442,175.47579357175,-36.764238297875
"Mainland Mooring 25","Mainland Mooring 59",1,175.434166988,-36.8246320442,175.0339161016,-36.82694775294
"Mainland Mooring 26","Mainland Mooring 27",1,175.47579357175,-36.764238297875,175.465709040333,-36.5225860606667
"Mainland Mooring 26","Mainland Mooring 60",1,175.47579357175,-36.764238297875,175.054278319,-36.7799339133
"Mainland Mooring 26","Mainland Mooring 61",2,175.47579357175,-36.764238297875,175.165210901667,-36.8436440399333
"Mainland Mooring 26","Mainland Mussels 18",2,175.47579357175,-36.764238297875,175.436903747595,-36.749949914727
"Mainland Mooring 26","Mainland Oysters 5",2,175.47579357175,-36.764238297875,175.434618601,-36.8181676908
"Mainland Mooring 27","Mainland Mooring 28",1,175.465709040333,-36.5225860606667,175.772892556,-36.6005389888
"Mainland Mooring 27","Mainland Mooring 51",1,175.465709040333,-36.5225860606667,175.394999821667,-36.2618971699
"Mainland Mooring 28","Homunga Bay",1,175.772892556,-36.6005389888,175.945581669273,-37.3615264694354
"Mainland Mooring 28","Mainland Island 63",2,175.772892556,-36.6005389888,175.91971452925,-37.086042272775
"Mainland Mooring 28","Mainland Island 67",1,175.772892556,-36.6005389888,176.081709432397,-36.9588858977016
"Mainland Mooring 28","Mainland Marina 11",1,175.772892556,-36.6005389888,175.70634073,-36.8220996925
"Mainland Mooring 28","Mainland Marina 9",2,175.772892556,-36.6005389888,174.7806808478,-36.84457156828
"Mainland Mooring 28","Mainland Mooring 27",1,175.772892556,-36.6005389888,175.465709040333,-36.5225860606667
"Mainland Mooring 28","Mainland Mooring 50",3,175.772892556,-36.6005389888,175.484314823333,-36.3264657695333
"Mainland Mooring 28","Mainland Mooring 51",1,175.772892556,-36.6005389888,175.394999821667,-36.2618971699
"Mainland Mooring 28","Mainland MR 23",1,175.772892556,-36.6005389888,175.791613051,-36.819740851
"Mainland Mooring 28","Mainland Oysters 16",1,175.772892556,-36.6005389888,175.169953813,-36.8029395727
"Mainland Mooring 28","Smokehouse Bay",2,175.772892556,-36.6005389888,175.3353,-36.2057
"Mainland Mooring 29","Homunga Bay",1,175.814958883,-36.7608098067,175.945581669273,-37.3615264694354
"Mainland Mooring 29","Mainland Marina 11",2,175.814958883,-36.7608098067,175.70634073,-36.8220996925
"Mainland Mooring 29","Mainland Marina 14",1,175.814958883,-36.7608098067,176.18072485,-37.66724799505
"Mainland Mooring 29","Mainland Mooring 30",1,175.814958883,-36.7608098067,175.7147572755,-36.82193521195
"Mainland Mooring 29","Mainland Mooring 50",1,175.814958883,-36.7608098067,175.484314823333,-36.3264657695333
"Mainland Mooring 29","Mainland Oysters 19",1,175.814958883,-36.7608098067,175.696102545,-36.8222867555
"Mainland Mooring 30","Mainland Marina 11",1,175.7147572755,-36.82193521195,175.70634073,-36.8220996925
"Mainland Mooring 30","Mainland Marina 9",1,175.7147572755,-36.82193521195,174.7806808478,-36.84457156828
"Mainland Mooring 30","Mainland Mooring 28",1,175.7147572755,-36.82193521195,175.772892556,-36.6005389888
"Mainland Mooring 30","Mainland MR 23",1,175.7147572755,-36.82193521195,175.791613051,-36.819740851
"Mainland Mooring 32","Sanford",1,175.876411192,-37.196956871,170.497812,-45.887513
"Mainland Mooring 35","Mainland Marina 9",1,174.115811762778,-35.2454224835259,174.7806808478,-36.84457156828
"Mainland Mooring 35","Mainland Mooring 44",1,174.115811762778,-35.2454224835259,173.7677530242,-35.00289248482
