name,nID,Region,lon,lat
Mainland Island 12,1474,Auckland Region,175.1519787,-35.93326371
Mainland Island 84,1477,Northland Region,174.4612136,-35.47498265
Mainland Island 19,1494,Southland Region,167.7564992,-47.18831695
Mainland Island 22,1498,Southland Region,168.2319245,-47.00976049
Mainland Island 77,1569,Waikato Region,175.7716354,-36.43655058
Mainland Island 78,1570,Auckland Region,175.0796397,-36.18520786
Mainland Island 87,1577,Northland Region,173.3674814,-34.77843504
Mainland Island 93,1580,Three Kings Islands,172.1386145,-34.15421918
Mainland Island 91,1582,Northland Region,173.049987,-34.41469235
Mainland Mussels 12,1618,Marlborough Region,173.9517546,-40.97396538
Mainland Salmon 1,1620,Marlborough Region,173.9627488,-41.10681594
Mainland Salmon 2,1621,Marlborough Region,173.8216688,-41.00879863
Mainland Mussels 23,1633,Marlborough Region,174.1018637,-41.01987602
Mainland Mussels 27,1637,Marlborough Region,174.0500668,-40.95624694
Mainland Salmon 5,1639,Marlborough Region,173.9595153,-40.98082376
Mainland Mussels 51,1672,Canterbury Region,172.9634611,-43.63071535
Homunga Bay,1742,Waikato Region,175.9455817,-37.36152647
Mainland Marina 17,1069,Wellington Region,174.8403369,-41.10305604
Mainland Marina 18,1070,Wellington Region,174.8261267,-41.34827185
Mainland Mooring 4,1081,Canterbury Region,172.9889562,-43.64028307
Mainland Mooring 21,1101,Wellington Region,174.8476577,-41.35326034
Mainland Mooring 71,1151,Marlborough Region,173.8817476,-40.93293454
Mainland Mooring 72,1152,Marlborough Region,173.895429,-40.88241785
Mainland Mooring 76,1156,Marlborough Region,173.8719582,-41.0352856
Mainland Mooring 82,1162,Marlborough Region,174.2187235,-41.18970751
Mainland Mooring 83,1163,Marlborough Region,174.1846614,-41.22576028
Mainland Mooring 101,1181,Tasman Region,172.7246941,-40.73340583
Mainland MR 1,1184,Bay of Plenty Region,177.1328089,-37.4764101
Mainland MR 21,1205,Wellington Region,174.9499962,-40.85650466
Mainland MR 24,1208,Wellington Region,174.7678956,-41.35633204
Mainland MR 31,1215,Canterbury Region,173.681835,-42.53467547
Mainland CHS 8,1232,Northland Region,174.4837679,-35.97259011
Mainland CHS 15,1239,Bay of Plenty Region,176.8818313,-37.90942525
Mainland CHS 38,1262,Wellington Region,175.4346186,-41.58673014
Mainland Fjord 3,1318,Southland Region,166.7251174,-45.66054054
Mainland CHS 121,1354,Southland Region,168.2319245,-47.04227012
Mainland CHS 126,1359,Southland Region,167.6138716,-47.26927983
Mainland Beach 2,1365,Auckland Region,174.8260742,-37.05763121
Mainland Beach 27,1393,Waikato Region,174.7695278,-37.9045
Mainland Beach 41,1408,Nelson Region,173.4591804,-41.15974874
Mainland Beach 50,1417,Wellington Region,174.9164749,-41.00307589
Mainland Beach 53,1420,Canterbury Region,173.5566885,-42.47285085
Mainland Beach 70,1437,Northland Region,174.578853,-35.81785382
Mainland Island 3,1458,Southland Region,167.6478176,-47.21945134
Mainland Island 112,1463,Southland Region,166.7600467,-45.59157602
Mainland Island 5,1464,Marlborough Region,174.1410214,-40.88176717
Mainland Island 113,1466,Hawke's Bay Region,177.0822333,-39.63192553
Mainland Island 21,1497,Southland Region,168.1992748,-47.11396162
Mainland Island 114,1500,Southland Region,168.2683518,-46.90209525
Mainland Island 122,1520,Southland Region,166.4758953,-45.77794559
Mainland Island 41,1528,Canterbury Region,173.1050183,-43.69577349
Mainland Island 50,1539,Marlborough Region,173.9845713,-40.67008744
Mainland Island 55,1547,Gisborne Region,178.3584845,-38.23797527
Mainland Island 56,1548,Gisborne Region,178.3814702,-38.05949646
Mainland Island 58,1551,Gisborne Region,178.5724259,-37.6733242
Mainland Island 59,1552,Bay of Plenty Region,176.8979822,-37.83634407
Mainland Island 99,1589,Auckland Islands,166.2952229,-50.52065952
Mainland Oysters 6,1604,Waikato Region,175.4885472,-36.76035763
Mainland Mussels 2,1605,Marlborough Region,173.913002,-41.09063758
Mainland Salmon 6,1609,Marlborough Region,174.0972169,-41.22503154
Mainland Mussels 5,1611,Marlborough Region,174.0321677,-41.01007369
Mainland Mussels 10,1616,Marlborough Region,174.1319464,-41.33893427
Mainland Mussels 11,1617,Marlborough Region,173.830626,-41.03013454
Mainland Mussels 16,1624,Marlborough Region,173.7133871,-41.06766238
Mainland Mussels 19,1628,Waikato Region,175.6247887,-36.66511713
Mainland Mussels 32,1651,Tasman Region,173.0888911,-41.02661588
Mainland Mussels 38,1657,Hawke's Bay Region,177.1017441,-39.31617419
Mainland Oysters 11,1658,Bay of Plenty Region,177.0748361,-37.95619685
Mainland Mussels 40,1660,Canterbury Region,172.9246107,-43.85984271
Mainland Mussels 43,1665,Northland Region,172.9400211,-34.50633101
Mainland Salmon 7,1667,Marlborough Region,174.2512752,-41.24675101
Mainland Mussels 44,1668,Tasman Region,173.1103062,-41.07875754
Mainland Mussels 55,1671,Canterbury Region,172.8569912,-43.61624156
Mainland Aquaculture 9,1675,Marlborough Region,173.7230873,-41.06708439
Mainland Aquaculture 7,1699,Marlborough Region,174.3622831,-41.15017031
Mainland Mooring 84,1164,Marlborough Region,174.096965,-41.2361045
Mainland CHS 5,1229,Northland Region,173.6252551,-34.94874268
Islands Island 5,1453,kermadec Islands,-177.8732473,-29.24485274
Mainland Island 74,1566,Waikato Region,175.5515877,-36.59267813
Mainland Island 86,1576,Northland Region,173.6536781,-34.94524619
