"from","to","vessels","xx","yx","xy","yy"
"Mainland CHS 3","Mainland Island 91",1,172.962034394,-34.4262599167,173.049987049,-34.414692354
"Mainland CHS 38","Mainland Marina 14",1,175.434618601,-41.5867301368,176.18072485,-37.66724799505
"Mainland CHS 4","Mainland Beach 75",1,173.437832122,-34.8242664982,173.388052969,-34.808248018
"Mainland CHS 4","Mainland CHS 3",1,173.437832122,-34.8242664982,172.962034394,-34.4262599167
"Mainland CHS 4","Mainland Marina 1",2,173.437832122,-34.8242664982,173.741918150416,-35.0639430610256
"Mainland CHS 4","Mainland Mooring 34",2,173.437832122,-34.8242664982,173.152576911,-34.842826294
"Mainland CHS 4","Mainland Mooring 41",1,173.437832122,-34.8242664982,174.551119822,-35.6207688664667
"Mainland CHS 4","Mainland Mooring 42",1,173.437832122,-34.8242664982,174.5217148356,-35.83060401092
"Mainland CHS 4","Mainland Mooring 44",2,173.437832122,-34.8242664982,173.7677530242,-35.00289248482
"Mainland CHS 4","Mainland Mussels 43",1,173.437832122,-34.8242664982,172.940021136,-34.5063310099
"Mainland CHS 4","Mainland Mussels 45",2,173.437832122,-34.8242664982,173.1674339535,-34.80671724275
"Mainland CHS 4","Mainland Mussels 56",1,173.437832122,-34.8242664982,173.764707414,-34.9616324507
"Mainland CHS 5","Mainland Salmon 12",1,173.625255116,-34.948742679,174.817813456,-36.4171652096
"Mainland CHS 63","Mainland Beach 24",4,175.4310681485,-36.1081288082,175.484194055333,-36.2454641751333
"Mainland CHS 63","Mainland Beach 29",7,175.4310681485,-36.1081288082,175.482161136333,-36.1545944806333
"Mainland CHS 63","Mainland Island 79",7,175.4310681485,-36.1081288082,175.470518094,-36.133401488375
"Mainland CHS 63","Mainland Island 80",1,175.4310681485,-36.1081288082,175.4070954425,-36.039032408725
"Mainland CHS 63","Mainland Marina 6",1,175.4310681485,-36.1081288082,174.788355122,-36.620952782
"Mainland CHS 63","Mainland Marina 9",4,175.4310681485,-36.1081288082,174.7806808478,-36.84457156828
"Mainland CHS 63","Mainland Mooring 28",1,175.4310681485,-36.1081288082,175.772892556,-36.6005389888
"Mainland CHS 63","Mainland Mooring 41",1,175.4310681485,-36.1081288082,174.551119822,-35.6207688664667
"Mainland CHS 63","Mainland Mooring 50",4,175.4310681485,-36.1081288082,175.484314823333,-36.3264657695333
"Mainland CHS 63","Mainland Mooring 52",4,175.4310681485,-36.1081288082,175.3452219984,-36.16394118716
"Mainland CHS 63","Mainland Mooring 61",1,175.4310681485,-36.1081288082,175.165210901667,-36.8436440399333
"Mainland CHS 63","Mainland Mooring 64",1,175.4310681485,-36.1081288082,174.799140037429,-36.8335831537
"Mainland CHS 63","Mainland Mooring 65",1,175.4310681485,-36.1081288082,174.829097479333,-36.4237396672
"Mainland CHS 63","Mainland Mussels 29",3,175.4310681485,-36.1081288082,175.341963074222,-36.1619629048222
"Mainland CHS 63","Mainland Oysters 9",1,175.4310681485,-36.1081288082,175.640636253333,-36.7042623314
"Mainland CHS 64","Mainland Beach 29",1,175.477855957,-36.2195625981,175.482161136333,-36.1545944806333
"Mainland CHS 64","Mainland CHS 63",1,175.477855957,-36.2195625981,175.4310681485,-36.1081288082
"Mainland CHS 64","Mainland Island 79",1,175.477855957,-36.2195625981,175.470518094,-36.133401488375
"Mainland CHS 64","Mainland Mooring 50",1,175.477855957,-36.2195625981,175.484314823333,-36.3264657695333
"Mainland CHS 7","Mainland Island 85",1,174.578852967,-35.7403713299,173.982146294111,-34.9940633187778
"Mainland CHS 7","Mainland Oysters 22",1,174.578852967,-35.7403713299,174.222283953,-35.2200093351
"Mainland CHS 77","Mainland Mooring 87",4,171.274646771,-44.3954634437,170.601279825111,-45.8426899575242
"Mainland CHS 77","Mainland Mooring 93",1,171.274646771,-44.3954634437,170.98939156,-45.1068995492
"Mainland CHS 77","Mainland Mussels 55",1,171.274646771,-44.3954634437,172.856991196857,-43.6162415570857
"Mainland CHS 8","Mainland Mooring 42",1,174.483767897,-35.9725901088,174.5217148356,-35.83060401092
"Mainland Fjord 3","Mainland Island 122",1,166.725117413733,-45.660540539783,166.475895320733,-45.7779455853533
"Mainland Island 10","Mainland Beach 29",1,175.793576305,-36.6985332257,175.482161136333,-36.1545944806333
"Mainland Island 10","Mainland Beach 69",2,175.793576305,-36.6985332257,175.862501418,-36.8754822539
"Mainland Island 10","Mainland Island 11",1,175.793576305,-36.6985332257,175.87468265475,-36.64255098635
"Mainland Island 10","Mainland Island 63",2,175.793576305,-36.6985332257,175.91971452925,-37.086042272775
"Mainland Island 10","Mainland Island 67",2,175.793576305,-36.6985332257,176.081709432397,-36.9588858977016
"Mainland Island 10","Mainland Marina 11",2,175.793576305,-36.6985332257,175.70634073,-36.8220996925
"Mainland Island 10","Mainland Marina 14",1,175.793576305,-36.6985332257,176.18072485,-37.66724799505
"Mainland Island 10","Mainland Marina 9",1,175.793576305,-36.6985332257,174.7806808478,-36.84457156828
"Mainland Island 10","Mainland Mooring 11",1,175.793576305,-36.6985332257,177.02729353,-37.937372686
"Mainland Island 10","Mainland Mooring 28",3,175.793576305,-36.6985332257,175.772892556,-36.6005389888
"Mainland Island 10","Mainland Mooring 29",4,175.793576305,-36.6985332257,175.814958883,-36.7608098067
"Mainland Island 10","Mainland Mooring 30",1,175.793576305,-36.6985332257,175.7147572755,-36.82193521195
"Mainland Island 10","Mainland Mooring 52",1,175.793576305,-36.6985332257,175.3452219984,-36.16394118716
"Mainland Island 10","Mainland MR 23",1,175.793576305,-36.6985332257,175.791613051,-36.819740851
"Mainland Island 10","Mainland Oysters 19",3,175.793576305,-36.6985332257,175.696102545,-36.8222867555
"Mainland Island 11","Mainland Island 63",1,175.87468265475,-36.64255098635,175.91971452925,-37.086042272775
"Mainland Island 11","Mainland Island 9",1,175.87468265475,-36.64255098635,175.913356057,-36.70418108115
"Mainland Island 11","Mainland Marina 11",2,175.87468265475,-36.64255098635,175.70634073,-36.8220996925
"Mainland Island 11","Mainland Mooring 28",3,175.87468265475,-36.64255098635,175.772892556,-36.6005389888
"Mainland Island 11","Mainland Mooring 61",1,175.87468265475,-36.64255098635,175.165210901667,-36.8436440399333
"Mainland Island 11","Mainland MR 23",1,175.87468265475,-36.64255098635,175.791613051,-36.819740851
"Mainland Island 11","Mainland Oysters 19",1,175.87468265475,-36.64255098635,175.696102545,-36.8222867555
"Mainland Island 112","Mainland Mooring 14",1,166.7600467018,-45.59157602362,166.989020285,-45.3212604264
"Mainland Island 113","Mainland Marina 16",1,177.0822333386,-39.63192552568,176.892343211,-39.4832270598
