name,nID,Region,Cmmn_nm,lon,lat
Mainland Island 74,1566,Waikato Region,Unnamed,175.5515877,-36.59267813
Mainland Island 75,1567,Auckland Region,Unnamed,174.8898796,-36.60081384
Mainland Island 76,1568,Waikato Region,Unnamed,175.3662661,-36.4419488
Mainland Island 77,1569,Waikato Region,Unnamed,175.7716354,-36.43655058
Mainland Island 78,1570,Auckland Region,Unnamed,175.0796397,-36.18520786
Mainland Island 79,1571,Auckland Region,Rakitu Island,175.4705181,-36.13340149
Mainland Island 80,1572,Auckland Region,Aiguilles Island,175.4070954,-36.03903241
Mainland Island 81,1573,Northland Region,Sail Rock,174.6976664,-36.00200544
Mainland Island 83,1574,Northland Region,Bream Head Islands,174.5863753,-35.82879572
Mainland Island 85,1575,Northland Region,Cavalli Islands,173.9821463,-34.99406332
Mainland Island 90,1581,Northland Region,Pananehe Island,172.8567739,-34.42073321
Mainland Mussels 1,1595,Hawke's Bay Region,Unnamed,177.8339997,-39.15045682
Mainland Oysters 1,1596,Auckland Region,Unnamed,174.7276899,-36.49169211
Mainland Oysters 16,1597,Auckland Region,Unnamed,175.1699538,-36.80293957
Mainland Oysters 17,1599,Auckland Region,Unnamed,175.1250922,-36.83929055
Mainland Aquaculture 8,1601,Northland Region,Parengarenga Harbour Aquaculture,172.942373,-34.50431967
Mainland Oysters 5,1603,Waikato Region,Unnamed,175.4346186,-36.81816769
Mainland Oysters 6,1604,Waikato Region,Unnamed,175.4885472,-36.76035763
Mainland Oysters 7,1606,Northland Region,Whangaroa Oysters Sites,173.7706299,-35.00049942
Mainland Oysters 18,1607,Auckland Region,Unnamed,174.7452518,-36.41575414
Mainland Mussels 3,1608,Auckland Region,Unnamed,175.066164,-36.83727495
Mainland Mussels 15,1623,Marlborough Region,Unnamed,174.0654145,-41.2301478
Mainland Mussels 29,1625,Auckland Region,Port Fitzroy/Abercrombie Mussel Sites,175.3419631,-36.1619629
Mainland Mussels 18,1627,Waikato Region,Unnamed,175.4369037,-36.74994991
Mainland Mussels 19,1628,Waikato Region,Unnamed,175.6247887,-36.66511713
Mainland Mussels 20,1629,Marlborough Region,Unnamed,174.233087,-41.24473586
Mainland Mussels 21,1630,Southland Region,Unnamed,168.1206494,-46.95293013
Mainland Mussels 22,1632,Waikato Region,Unnamed,175.4674524,-36.51428026
Mainland Salmon 5,1639,Marlborough Region,Unnamed,173.9595153,-40.98082376
Mainland Mussels 58,1640,Auckland Region,Unnamed,174.7452518,-36.39653879
Mainland Mussels 28,1641,Marlborough Region,Unnamed,174.2027151,-41.05186666
Mainland Mussels 36,1644,Waikato Region,Unnamed,175.4156267,-36.9193918
Mainland Oysters 9,1645,Waikato Region,Unnamed,175.6406363,-36.70426233
Mainland Mussels 59,1647,Marlborough Region,Unnamed,174.1985127,-40.99508155
Mainland Oysters 10,1649,Northland Region,Parengarenga Harbour Oyster Sites,172.9631736,-34.53600193
Mainland Mussels 37,1655,Waikato Region,Unnamed,175.4170709,-36.83478105
Mainland Mussels 41,1661,Wellington Region,Unnamed,174.8403369,-41.35114512
Mainland Oysters 12,1663,Northland Region,Taronui Bay Oyster Sites,174.0151343,-35.11777579
Mainland Oysters 14,1666,Northland Region,Rangaunu Harbour Oyster Sites,173.3179956,-34.90895024
Mainland Mussels 45,1669,Northland Region,Houhora Bay Mussel Sites,173.167434,-34.80671724
Mainland Salmon 12,1676,Auckland Region,Unnamed,174.8178135,-36.41716521
Mainland Oysters 19,1677,Waikato Region,Unnamed,175.6961025,-36.82228676
Mainland Mussels 48,1678,Waikato Region,Unnamed,175.3993694,-36.69642505
Mainland Aquaculture 3,1679,Northland Region,Inner North West Bay of Islands Aquaculture,174.091542,-35.22973932
Mainland Oysters 20,1682,Northland Region,?taipango / Henderson Bay Oyster Sites,173.1525769,-34.76543741
Mainland Oysters 21,1683,Northland Region,Inner Bay of Islands' Oyster Sites,174.1287836,-35.2517752
Mainland Oysters 22,1684,Northland Region,Outer Bay of Islands' Oyster Sites,174.222284,-35.22000934
Mainland Oysters 23,1685,Northland Region,Whangarei Harbour Oyster Sites,174.4599966,-35.81785382
Mainland Aquaculture 4,1689,Waikato Region,Unnamed,175.4513903,-36.73294846
Mainland Salmon 8,1690,Marlborough Region,Unnamed,174.1747414,-41.3543019
Mainland Mussels 54,1694,Auckland Region,Unnamed,175.1696467,-36.80611424
Mainland Mussels 56,1695,Northland Region,Whangaroa Bay Mussel Sites,173.7647074,-34.96163245
Mainland Mussels 57,1697,Auckland Region,Unnamed,175.3298887,-36.91937955
Mainland Aquaculture 6,1698,Marlborough Region,Unnamed,173.8894862,-41.09402
Waiaka Bay,1741,Gisborne Region,Unnamed,178.1583749,-37.54299042
Homunga Bay,1742,Waikato Region,Unnamed,175.9455817,-37.36152647
