from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Mooring 64,Mainland CHS 63,1144,1287,1,0.008832362,174.79914,-36.83358315,175.4310681,-36.10812881
Mainland Mooring 52,Mainland CHS 63,1132,1287,6,0.052994171,175.345222,-36.16394119,175.4310681,-36.10812881
Mainland Island 82,Mainland CHS 63,1475,1287,3,0.026497085,175.1045345,-35.91000549,175.4310681,-36.10812881
Mainland Mooring 50,Mainland CHS 63,1130,1287,1,0.008832362,175.4843148,-36.32646577,175.4310681,-36.10812881
Mainland Mooring 51,Mainland CHS 63,1131,1287,2,0.017664724,175.3949998,-36.26189717,175.4310681,-36.10812881
Mainland Mooring 28,Mainland CHS 63,1108,1287,2,0.017664724,175.7728926,-36.60053899,175.4310681,-36.10812881
Mainland Mooring 65,Mainland CHS 63,1145,1287,1,0.008832362,174.8290975,-36.42373967,175.4310681,-36.10812881
Mainland Mooring 36,Mainland CHS 63,1116,1287,1,0.008832362,174.2344349,-35.23128279,175.4310681,-36.10812881
Mainland Marina 14,Mainland CHS 64,1066,1288,1,0.008832362,176.1807249,-37.667248,175.477856,-36.2195626
Mainland Marina 6,Mainland CHS 64,1058,1288,1,0.008832362,174.7883551,-36.62095278,175.477856,-36.2195626
Mainland MR 19,Mainland CHS 64,1203,1288,4,0.035329447,174.3933379,-35.793184,175.477856,-36.2195626
Mainland Oysters 18,Mainland CHS 64,1607,1288,1,0.008832362,174.7452518,-36.41575414,175.477856,-36.2195626
Mainland CHS 63,Mainland CHS 64,1287,1288,1,0.008832362,175.4310681,-36.10812881,175.477856,-36.2195626
Mainland Marina 4,Mainland CHS 64,1056,1288,3,0.026497085,174.4165507,-35.81754382,175.477856,-36.2195626
Mainland Oysters 16,Mainland CHS 64,1597,1288,1,0.008832362,175.1699538,-36.80293957,175.477856,-36.2195626
Mainland Mooring 9,Mainland CHS 64,1089,1288,1,0.008832362,176.1834135,-37.66859873,175.477856,-36.2195626
Mainland Mooring 54,Mainland CHS 64,1134,1288,1,0.008832362,174.7262661,-36.49824124,175.477856,-36.2195626
Mainland Mooring 58,Mainland CHS 64,1138,1288,1,0.008832362,174.9849346,-36.75476649,175.477856,-36.2195626
Mainland Aquaculture 3,Mainland CHS 64,1679,1288,1,0.008832362,174.091542,-35.22973932,175.477856,-36.2195626
Mainland Mooring 51,Mainland CHS 64,1131,1288,1,0.008832362,175.3949998,-36.26189717,175.477856,-36.2195626
Mainland Mooring 65,Mainland CHS 64,1145,1288,2,0.017664724,174.8290975,-36.42373967,175.477856,-36.2195626
Mainland Oysters 22,Mainland CHS 7,1684,1231,1,0.008832362,174.222284,-35.22000934,174.578853,-35.74037133
Mainland Mooring 43,Mainland CHS 7,1123,1231,1,0.008832362,174.4161348,-35.80984226,174.578853,-35.74037133
Mainland Mussels 29,Mainland CHS 7,1625,1231,5,0.044161809,175.3419631,-36.1619629,174.578853,-35.74037133
Mainland MR 4,Mainland CHS 7,1187,1231,1,0.008832362,174.7214806,-35.48802768,174.578853,-35.74037133
Mainland Mooring 65,Mainland CHS 7,1145,1231,3,0.026497085,174.8290975,-36.42373967,174.578853,-35.74037133
Mainland Mooring 51,Mainland CHS 8,1131,1232,2,0.017664724,175.3949998,-36.26189717,174.4837679,-35.97259011
Mainland Mooring 36,Mainland CHS 8,1116,1232,1,0.008832362,174.2344349,-35.23128279,174.4837679,-35.97259011
Mainland Mooring 28,Mainland Island 10,1108,1471,8,0.070658894,175.7728926,-36.60053899,175.7935763,-36.69853323
Mainland Marina 11,Mainland Island 10,1063,1471,1,0.008832362,175.7063407,-36.82209969,175.7935763,-36.69853323
Mainland Island 63,Mainland Island 10,1556,1471,1,0.008832362,175.9197145,-37.08604227,175.7935763,-36.69853323
Mainland Marina 14,Mainland Island 10,1066,1471,2,0.017664724,176.1807249,-37.667248,175.7935763,-36.69853323
Mainland Mussels 19,Mainland Island 10,1628,1471,5,0.044161809,175.6247887,-36.66511713,175.7935763,-36.69853323
Mainland Beach 69,Mainland Island 10,1436,1471,1,0.008832362,175.8625014,-36.87548225,175.7935763,-36.69853323
Mainland Mooring 52,Mainland Island 10,1132,1471,1,0.008832362,175.345222,-36.16394119,175.7935763,-36.69853323
Homunga Bay,Mainland Island 11,1742,1472,1,0.008832362,175.9455817,-37.36152647,175.8746827,-36.64255099
Mainland MR 23,Mainland Island 11,1207,1472,1,0.008832362,175.7916131,-36.81974085,175.8746827,-36.64255099
Mainland Mooring 61,Mainland Island 11,1141,1472,1,0.008832362,175.1652109,-36.84364404,175.8746827,-36.64255099
Mainland Mooring 52,Mainland Island 11,1132,1472,1,0.008832362,175.345222,-36.16394119,175.8746827,-36.64255099
Mainland MR 2,Mainland Island 11,1185,1472,1,0.008832362,176.2608625,-37.26126482,175.8746827,-36.64255099
Mainland Marina 14,Mainland Island 11,1066,1472,3,0.026497085,176.1807249,-37.667248,175.8746827,-36.64255099
Mainland Mooring 28,Mainland Island 11,1108,1472,5,0.044161809,175.7728926,-36.60053899,175.8746827,-36.64255099
Mainland Mooring 51,Mainland Island 11,1131,1472,1,0.008832362,175.3949998,-36.26189717,175.8746827,-36.64255099
Mainland CHS 64,Mainland Island 12,1288,1474,1,0.008832362,175.477856,-36.2195626,175.1519787,-35.93326371
Mainland Oysters 1,Mainland Island 12,1596,1474,1,0.008832362,174.7276899,-36.49169211,175.1519787,-35.93326371
Mainland Mooring 52,Mainland Island 12,1132,1474,1,0.008832362,175.345222,-36.16394119,175.1519787,-35.93326371
Mainland Beach 24,Mainland Island 12,1390,1474,1,0.008832362,175.4841941,-36.24546418,175.1519787,-35.93326371
Mainland Mussels 29,Mainland Island 12,1625,1474,1,0.008832362,175.3419631,-36.1619629,175.1519787,-35.93326371
Mainland Mooring 53,Mainland Island 12,1133,1474,1,0.008832362,174.7427249,-36.40368021,175.1519787,-35.93326371
Mainland Aquaculture 8,Mainland Island 12,1601,1474,3,0.026497085,172.942373,-34.50431967,175.1519787,-35.93326371
Mainland Island 78,Mainland Island 12,1570,1474,1,0.008832362,175.0796397,-36.18520786,175.1519787,-35.93326371
Mainland Marina 4,Mainland Island 12,1056,1474,5,0.044161809,174.4165507,-35.81754382,175.1519787,-35.93326371
Mainland Marina 4,Mainland Island 13,1056,1473,3,0.026497085,174.4165507,-35.81754382,174.7321628,-35.95073586
Mainland Mooring 65,Mainland Island 13,1145,1473,1,0.008832362,174.8290975,-36.42373967,174.7321628,-35.95073586
Mainland MR 4,Mainland Island 14,1187,1476,2,0.017664724,174.7214806,-35.48802768,174.7329046,-35.88870087
Mainland Mooring 49,Mainland Island 14,1129,1476,1,0.008832362,174.80468,-36.30038057,174.7329046,-35.88870087
Mainland Mooring 30,Mainland Island 14,1110,1476,1,0.008832362,175.7147573,-36.82193521,174.7329046,-35.88870087
Mainland Marina 9,Mainland Island 14,1061,1476,1,0.008832362,174.7806808,-36.84457157,174.7329046,-35.88870087
Mainland CHS 20,Mainland Island 54,1244,1546,3,0.026497085,178.3465989,-37.59770459,178.3448796,-38.37697426
Mainland Mooring 28,Mainland Island 62,1108,1555,1,0.008832362,175.7728926,-36.60053899,176.0920915,-37.54490681
Mainland Marina 11,Mainland Island 63,1063,1556,1,0.008832362,175.7063407,-36.82209969,175.9197145,-37.08604227
Mainland Marina 13,Mainland Island 63,1065,1556,7,0.061826532,175.8665103,-37.19703585,175.9197145,-37.08604227
Mainland Mooring 58,Mainland Island 63,1138,1556,1,0.008832362,174.9849346,-36.75476649,175.9197145,-37.08604227
Mainland Beach 69,Mainland Island 63,1436,1556,1,0.008832362,175.8625014,-36.87548225,175.9197145,-37.08604227
Mainland Mooring 51,Mainland Island 63,1131,1556,1,0.008832362,175.3949998,-36.26189717,175.9197145,-37.08604227
Mainland Mooring 32,Mainland Island 63,1112,1556,8,0.070658894,175.8764112,-37.19695687,175.9197145,-37.08604227
Mainland Mooring 52,Mainland Island 63,1132,1556,1,0.008832362,175.345222,-36.16394119,175.9197145,-37.08604227
