from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Island 62,Mainland Marina 14,1555,1066,7,0.104743379,176.0920915,-37.54490681,176.1807249,-37.667248
Mainland Mooring 9,Mainland Marina 14,1089,1066,1,0.01496334,176.1834135,-37.66859873,176.1807249,-37.667248
Mainland Island 11,Mainland Marina 14,1472,1066,4,0.059853359,175.8746827,-36.64255099,176.1807249,-37.667248
Mainland Mooring 50,Mainland Marina 14,1130,1066,1,0.01496334,175.4843148,-36.32646577,176.1807249,-37.667248
Mainland Mussels 22,Mainland Marina 14,1632,1066,4,0.059853359,175.4674524,-36.51428026,176.1807249,-37.667248
Mainland Marina 9,Mainland Marina 14,1061,1066,1,0.01496334,174.7806808,-36.84457157,176.1807249,-37.667248
Mainland Island 10,Mainland Marina 14,1471,1066,1,0.01496334,175.7935763,-36.69853323,176.1807249,-37.667248
Mainland Mooring 51,Mainland Marina 14,1131,1066,1,0.01496334,175.3949998,-36.26189717,176.1807249,-37.667248
Mainland Mooring 28,Mainland Marina 14,1108,1066,8,0.119706719,175.7728926,-36.60053899,176.1807249,-37.667248
Mainland Mooring 7,Mainland Marina 14,1087,1066,1,0.01496334,175.9785278,-37.48899576,176.1807249,-37.667248
Mainland Mooring 57,Mainland Marina 14,1137,1066,1,0.01496334,175.1695681,-36.93554243,176.1807249,-37.667248
Mainland Mooring 28,Mainland Marina 16,1108,1068,64,0.957653748,175.7728926,-36.60053899,176.8923432,-39.48322706
Mainland Mooring 36,Mainland Marina 2,1116,1054,23,0.344156816,174.2344349,-35.23128279,174.1034276,-35.24046385
Mainland Aquaculture 3,Mainland Marina 2,1679,1054,25,0.374083495,174.091542,-35.22973932,174.1034276,-35.24046385
Mainland Oysters 21,Mainland Marina 2,1683,1054,45,0.673350292,174.1287836,-35.2517752,174.1034276,-35.24046385
Mainland Marina 1,Mainland Marina 2,1053,1054,16,0.239413437,173.7419182,-35.06394306,174.1034276,-35.24046385
Mainland Mooring 44,Mainland Marina 2,1124,1054,2,0.02992668,173.767753,-35.00289248,174.1034276,-35.24046385
Mainland Mooring 47,Mainland Marina 2,1127,1054,4,0.059853359,174.3411403,-35.3128583,174.1034276,-35.24046385
Mainland Oysters 22,Mainland Marina 3,1684,1055,1,0.01496334,174.222284,-35.22000934,174.5550817,-35.60459378
Mainland Mooring 47,Mainland Marina 3,1127,1055,5,0.074816699,174.3411403,-35.3128583,174.5550817,-35.60459378
Mainland Mooring 46,Mainland Marina 3,1126,1055,2,0.02992668,174.3886828,-35.39075876,174.5550817,-35.60459378
Mainland Mooring 44,Mainland Marina 3,1124,1055,1,0.01496334,173.767753,-35.00289248,174.5550817,-35.60459378
Mainland Mooring 41,Mainland Marina 3,1121,1055,3,0.044890019,174.5511198,-35.62076887,174.5550817,-35.60459378
Mainland Oysters 23,Mainland Marina 3,1685,1055,1,0.01496334,174.4599966,-35.81785382,174.5550817,-35.60459378
Mainland Mooring 36,Mainland Marina 3,1116,1055,52,0.778093671,174.2344349,-35.23128279,174.5550817,-35.60459378
Mainland Mooring 50,Mainland Marina 4,1130,1056,2,0.02992668,175.4843148,-36.32646577,174.4165507,-35.81754382
Mainland Mooring 51,Mainland Marina 4,1131,1056,2,0.02992668,175.3949998,-36.26189717,174.4165507,-35.81754382
Mainland Oysters 21,Mainland Marina 4,1683,1056,1,0.01496334,174.1287836,-35.2517752,174.4165507,-35.81754382
Mainland Mooring 36,Mainland Marina 4,1116,1056,8,0.119706719,174.2344349,-35.23128279,174.4165507,-35.81754382
Mainland Mooring 58,Mainland Marina 4,1138,1056,1,0.01496334,174.9849346,-36.75476649,174.4165507,-35.81754382
Mainland Mooring 52,Mainland Marina 4,1132,1056,14,0.209486757,175.345222,-36.16394119,174.4165507,-35.81754382
Mainland Salmon 12,Mainland Marina 5,1676,1057,2,0.02992668,174.8178135,-36.41716521,174.735756,-36.39353753
Mainland Mooring 27,Mainland Marina 5,1107,1057,1,0.01496334,175.465709,-36.52258606,174.735756,-36.39353753
Mainland Mooring 50,Mainland Marina 5,1130,1057,1,0.01496334,175.4843148,-36.32646577,174.735756,-36.39353753
Mainland Mooring 65,Mainland Marina 5,1145,1057,8,0.119706719,174.8290975,-36.42373967,174.735756,-36.39353753
Mainland Mooring 42,Mainland Marina 5,1122,1057,1,0.01496334,174.5217148,-35.83060401,174.735756,-36.39353753
Mainland Island 13,Mainland Marina 6,1473,1058,1,0.01496334,174.7321628,-35.95073586,174.7883551,-36.62095278
Mainland Mooring 54,Mainland Marina 6,1134,1058,3,0.044890019,174.7262661,-36.49824124,174.7883551,-36.62095278
Mainland Mooring 28,Mainland Marina 6,1108,1058,1,0.01496334,175.7728926,-36.60053899,174.7883551,-36.62095278
Mainland Mooring 46,Mainland Marina 6,1126,1058,1,0.01496334,174.3886828,-35.39075876,174.7883551,-36.62095278
Mainland Mooring 50,Mainland Marina 6,1130,1058,2,0.02992668,175.4843148,-36.32646577,174.7883551,-36.62095278
Mainland Mooring 52,Mainland Marina 6,1132,1058,9,0.134670058,175.345222,-36.16394119,174.7883551,-36.62095278
Mainland Mooring 60,Mainland Marina 6,1140,1058,4,0.059853359,175.0542783,-36.77993391,174.7883551,-36.62095278
Mainland Mooring 65,Mainland Marina 6,1145,1058,36,0.538680233,174.8290975,-36.42373967,174.7883551,-36.62095278
Mainland Oysters 1,Mainland Marina 6,1596,1058,5,0.074816699,174.7276899,-36.49169211,174.7883551,-36.62095278
Mainland Mooring 49,Mainland Marina 6,1129,1058,2,0.02992668,174.80468,-36.30038057,174.7883551,-36.62095278
Mainland Mooring 51,Mainland Marina 6,1131,1058,8,0.119706719,175.3949998,-36.26189717,174.7883551,-36.62095278
Mainland Mooring 63,Mainland Marina 6,1143,1058,1,0.01496334,174.6975767,-36.83036881,174.7883551,-36.62095278
Mainland Salmon 12,Mainland Marina 6,1676,1058,9,0.134670058,174.8178135,-36.41716521,174.7883551,-36.62095278
Mainland Mooring 47,Mainland Marina 6,1127,1058,1,0.01496334,174.3411403,-35.3128583,174.7883551,-36.62095278
Mainland Mooring 36,Mainland Marina 6,1116,1058,4,0.059853359,174.2344349,-35.23128279,174.7883551,-36.62095278
Mainland Mooring 36,Mainland Marina 8,1116,1060,1,0.01496334,174.2344349,-35.23128279,174.673938,-36.81816769
Mainland Beach 24,Mainland Marina 8,1390,1060,1,0.01496334,175.4841941,-36.24546418,174.673938,-36.81816769
Mainland Marina 9,Mainland Marina 8,1061,1060,1,0.01496334,174.7806808,-36.84457157,174.673938,-36.81816769
Mainland Mooring 65,Mainland Marina 8,1145,1060,7,0.104743379,174.8290975,-36.42373967,174.673938,-36.81816769
Mainland Mooring 51,Mainland Marina 8,1131,1060,1,0.01496334,175.3949998,-36.26189717,174.673938,-36.81816769
Mainland Island 72,Mainland Marina 8,1564,1060,1,0.01496334,175.1703413,-36.72299274,174.673938,-36.81816769
Mainland Mooring 25,Mainland Marina 9,1105,1061,34,0.508753554,175.434167,-36.82463204,174.7806808,-36.84457157
Mainland Oysters 21,Mainland Marina 9,1683,1061,6,0.089780039,174.1287836,-35.2517752,174.7806808,-36.84457157
Mainland Mooring 60,Mainland Marina 9,1140,1061,34,0.508753554,175.0542783,-36.77993391,174.7806808,-36.84457157
Mainland Aquaculture 3,Mainland Marina 9,1679,1061,1,0.01496334,174.091542,-35.22973932,174.7806808,-36.84457157
Mainland Mooring 49,Mainland Marina 9,1129,1061,1,0.01496334,174.80468,-36.30038057,174.7806808,-36.84457157
Mainland Mooring 64,Mainland Marina 9,1144,1061,11,0.164596738,174.79914,-36.83358315,174.7806808,-36.84457157
Mainland Mooring 54,Mainland Marina 9,1134,1061,1,0.01496334,174.7262661,-36.49824124,174.7806808,-36.84457157
Mainland Mooring 28,Mainland Marina 9,1108,1061,2,0.02992668,175.7728926,-36.60053899,174.7806808,-36.84457157
Mainland Oysters 6,Mainland Marina 9,1604,1061,2,0.02992668,175.4885472,-36.76035763,174.7806808,-36.84457157
Mainland Oysters 1,Mainland Marina 9,1596,1061,13,0.194523418,174.7276899,-36.49169211,174.7806808,-36.84457157
Mainland Mussels 18,Mainland Marina 9,1627,1061,1,0.01496334,175.4369037,-36.74994991,174.7806808,-36.84457157
Mainland Mooring 50,Mainland Marina 9,1130,1061,3,0.044890019,175.4843148,-36.32646577,174.7806808,-36.84457157
Mainland Mooring 51,Mainland Marina 9,1131,1061,5,0.074816699,175.3949998,-36.26189717,174.7806808,-36.84457157
Mainland Mooring 65,Mainland Marina 9,1145,1061,72,1.077360467,174.8290975,-36.42373967,174.7806808,-36.84457157
Mainland Mooring 52,Mainland Marina 9,1132,1061,19,0.284303457,175.345222,-36.16394119,174.7806808,-36.84457157
Mainland Mussels 29,Mainland Marina 9,1625,1061,2,0.02992668,175.3419631,-36.1619629,174.7806808,-36.84457157
Mainland Mussels 54,Mainland Marina 9,1694,1061,9,0.134670058,175.1696467,-36.80611424,174.7806808,-36.84457157
Mainland Mooring 27,Mainland Marina 9,1107,1061,1,0.01496334,175.465709,-36.52258606,174.7806808,-36.84457157
Mainland Salmon 12,Mainland Marina 9,1676,1061,9,0.134670058,174.8178135,-36.41716521,174.7806808,-36.84457157
Mainland Island 75,Mainland Marina 9,1567,1061,7,0.104743379,174.8898796,-36.60081384,174.7806808,-36.84457157
Mainland MR 39,Mainland Marina 9,1223,1061,1,0.01496334,174.7452518,-36.66511713,174.7806808,-36.84457157
Mainland Mooring 58,Mainland Marina 9,1138,1061,58,0.867873709,174.9849346,-36.75476649,174.7806808,-36.84457157
Mainland Oysters 16,Mainland Marina 9,1597,1061,29,0.433936855,175.1699538,-36.80293957,174.7806808,-36.84457157
Mainland Mooring 36,Mainland Marina 9,1116,1061,28,0.418973515,174.2344349,-35.23128279,174.7806808,-36.84457157
Mainland Mooring 60,Mainland Mooring 25,1140,1105,2,0.02992668,175.0542783,-36.77993391,175.434167,-36.82463204
Mainland Mooring 51,Mainland Mooring 25,1131,1105,1,0.01496334,175.3949998,-36.26189717,175.434167,-36.82463204
Mainland Mooring 28,Mainland Mooring 25,1108,1105,2,0.02992668,175.7728926,-36.60053899,175.434167,-36.82463204
Mainland Oysters 6,Mainland Mooring 25,1604,1105,1,0.01496334,175.4885472,-36.76035763,175.434167,-36.82463204
Mainland Mooring 52,Mainland Mooring 25,1132,1105,28,0.418973515,175.345222,-36.16394119,175.434167,-36.82463204
Mainland Mussels 48,Mainland Mooring 25,1678,1105,3,0.044890019,175.3993694,-36.69642505,175.434167,-36.82463204
Mainland Mooring 26,Mainland Mooring 25,1106,1105,52,0.778093671,175.4757936,-36.7642383,175.434167,-36.82463204
Mainland Mooring 61,Mainland Mooring 25,1141,1105,18,0.269340117,175.1652109,-36.84364404,175.434167,-36.82463204
